  iter           grad(x_k)         value                  vector
    1             353.3033            2812.5000             110.0000               0.0000
    2             290.2467            1670.9795             113.4650              -0.6900
    3             226.1716             918.7751             116.3163              -1.2326
    4             168.1441             471.4912             118.5404              -1.6432
    5             120.2204             228.4754             120.1949              -1.9431
    6              83.3815             105.8721             121.3781              -2.1558
    7              56.5450              47.4620             122.1988              -2.3033
    8              37.7384              20.7825             122.7552              -2.4039
    9              24.9114               8.9540             123.1265              -2.4717
   10              16.3229               3.8160             123.3714              -2.5172
   11              10.6430               1.6146             123.5318              -2.5475
   12               6.9174               0.6800             123.6363              -2.5677
   13               4.4866               0.2855             123.7041              -2.5812
   14               2.9062               0.1197             123.7481              -2.5902
   15               1.8810               0.0501             123.7765              -2.5962
   16               1.2169               0.0210             123.7949              -2.6002
   17               0.7871               0.0088             123.8068              -2.6029
   18               0.5091               0.0037             123.8144              -2.6048
   19               0.3293               0.0015             123.8194              -2.6060
   20               0.2131               0.0006             123.8226              -2.6068
   30               0.0029               0.0000             123.8282              -2.6086
   40               0.0001               0.0000             123.8283              -2.6087
   50               0.0000               0.0000             123.8283              -2.6087
   61               0.0000               0.0000             123.8283              -2.6087
