  iter           grad(x_k)           value                  vector
    1            1450.3793           46902.5000     | 110.0000 0.0000
    2            1366.4406           42895.9473     | 106.6855 18.4000
    3            1352.0417           42213.2057     | 106.6136 20.1115
    4            1337.9691           41716.2541     | 106.4766 21.6095
    5            1324.1454           41344.0275     | 106.2968 22.9601
    6            1310.5323           41062.8742     | 106.0861 24.1996
    7            1297.1074           40851.7191     | 105.8523 25.3507
    8            1283.8563           40696.2491     | 105.6003 26.4287
    9            1270.7686           40586.1804     | 105.3340 27.4449
   10            1257.8370           40513.8118     | 105.0559 28.4074
   11            1245.0554           40473.1894     | 104.7684 29.3229
   12            1232.4190           40459.5929     | 104.4729 30.1963
   13            1219.9240           40469.2034     | 104.1709 31.0319
   14            1207.5668           40498.8788     | 103.8634 31.8332
   15            1195.3445           40545.9974     | 103.5513 32.6032
   16            1183.2544           40608.3455     | 103.2355 33.3443
   17            1171.2941           40684.0348     | 102.9165 34.0587
   18            1159.4613           40771.4404     | 102.5950 34.7483
   19            1147.7540           40869.1534     | 102.2714 35.4147
   20            1136.1703           40975.9437     | 101.9461 36.0594
   30            1026.7670           42356.0692     | 98.6654 41.5465
   40             928.1029           43958.7291     | 95.4506 45.7627
   50             839.0288           45540.4715     | 92.3834 49.1102
  100             507.0858           51311.8763     | 79.8409 58.7028
  200             185.5042           55062.1802     | 66.1562 64.5469
  300              67.8934           55650.9498     | 60.7416 65.9111
  400              24.8506           55734.4926     | 58.6970 66.3045
  500               9.0961           55745.9278     | 57.9396 66.4340
  600               3.3294           55747.4720     | 57.6611 66.4794
  700               1.2187           55747.6795     | 57.5590 66.4958
  800               0.4461           55747.7074     | 57.5216 66.5017
  900               0.1633           55747.7111     | 57.5079 66.5039
 1000               0.0598           55747.7116     | 57.5029 66.5047
 2000               0.0000           55747.7117     | 57.5000 66.5052
 2095               0.0000           55747.7117     | 57.5000 66.5052
