  iter       grad(x_k)           value       Step     vector1     vector2
     1          8.2462          4.2000     0.5000     -1.0000     0.8000
     2          7.1726          2.7654     0.5000     -0.3333    -0.3333
     3          2.3604          1.2027     0.5000     -0.0884    -0.0522
     4          1.6447          0.6660     0.5000      0.2518    -0.0823
     5          0.9384          0.2399     0.5000      0.5563     0.2167
     6          0.6682          0.0596     0.5000      0.7865     0.5656
     7          0.2883          0.0074     0.5000      0.9260     0.8381
     8          0.0643          0.0002     0.5000      0.9879     0.9722
     9          0.0023          0.0000     0.5000      0.9996     0.9990
    10          0.0000          0.0000     0.5000      1.0000     1.0000
    11          0.0000          0.0000     0.5000      1.0000     1.0000
